# Includes Amazon Marketplace, Fulfillment by Amazon (FBA), and Amazon Webstore transactions
# All amounts in INR, unless specified
# Definitions:
# Total sales tax liable: Includes GST or sales tax collected from buyers for product sales, shipping, and gift wrap.
# TCS-CGST: Tax Collected at Source from Central GST
# TCS-SGST: Tax Collected at Source from State GST
# TCS-IGST: Tax Collected at Source from Integrated GST
# TDS (Section 194-O): Tax Deducted at Source under Section 194-O of Income tax Act, 1961
# Selling fees: Includes variable closing fees and referral fees.
# Other transaction fees: Includes shipping chargebacks, shipping holdbacks, and sales tax collection fees
"date/time","settlement id","total"
"date/time","settlement id",
"type","order id","Sku","description","quantity","marketplace","account type","fulfillment","order city","order state","order postal","product sales","shipping credits","promotional rebates
","Total sales tax liable(GST before adjusting TCS)","TCS-CGST","TCS-SGST","TCS-IGST","TDS (Section 194-O)","selling fees","fba fees","other transaction fees","other","total"
"3 Mar 2022 8:52:28 am UTC","17253003812","Shipping Services
","171-2217846-1741915","","Easy Ship weight handling fees","","Amazon.in","Electronic Transactions (Credit Card/Net Banking/GC)","Merchant","","","","0","0","0","0","0","0","0","0","0","0","-60.18","0","-60.18"
"3 Mar 2022 8:52:28 am UTC","17253003812","Shipping Services
","408-7980173-0335549","","Easy Ship weight handling fees","","Amazon.in","Electronic Transactions (Credit Card/Net Banking/GC)","Merchant","","","","0","0","0","0","0","0","0","0","0","0","-84.96","0","-84.96"
"3 Mar 2022 8:52:28 am UTC","17253003812","Shipping Services
","408-9480336-9251518","","Easy Ship weight handling fees","","Amazon.in","Electronic Transactions (Credit Card/Net Banking/GC)","Merchant","","","","0","0","0","0","0","0","0","0","0","0","-84.96","0","-84.96"
"3 Mar 2022 8:52:28 am UTC","17253003812","Shipping Services
","408-3829010-8140305","","Easy Ship weight handling fees","","Amazon.in","Electronic Transactions (Credit Card/Net Banking/GC)","Merchant","","","","0","0","0","0","0","0","0","0","0","0","-84.96","0","-84.96"
"3 Mar 2022 9:07:07 am UTC","17253003812","Order
","406-2107230-3950703","3C-9BLT-UKV8","PROCARE Disposable Latex Medical Examination Gloves (Medium, 100 Pieces, White)","1","amazon.in","Electronic Transactions (Credit Card/Net Banking/GC)","Merchant","PUNE","MAHARASHTRA","411040","237.14","0","0","11.86","0","0","-2.37","0","-5.88","0","-9.44","0","231.31"
"3 Mar 2022 9:07:33 am UTC","17253003812","Order
","408-3829010-8140305","3C-9BLT-UKV8","PROCARE Disposable Latex Medical Examination Gloves (Medium, 100 Pieces, White)","1","amazon.in","Electronic Transactions (Credit Card/Net Banking/GC)","Merchant","BENGALURU","KARNATAKA","560040","237.14","0","0","11.86","0","0","-2.37","0","-5.88","0","-9.44","0","231.31"
"3 Mar 2022 9:07:45 am UTC","17253003812","Order
","408-9480336-9251518","JG-L67I-52WR","PEHEL INTERNATIONAL ® Bouffant Cap (Black, 100 Pieces)","1","amazon.in","Electronic Transactions (Credit Card/Net Banking/GC)","Merchant","HYDERABAD","TELANGANA","500013","214.29","0","0","10.71","0","0","-2.14","0","-5.31","0","-9.44","0","208.11"
"3 Mar 2022 9:07:45 am UTC","17253003812","Order
","408-7980173-0335549","3C-9BLT-UKV8","PROCARE Disposable Latex Medical Examination Gloves (Medium, 100 Pieces, White)","1","amazon.in","Electronic Transactions (Credit Card/Net Banking/GC)","Merchant","BENGALURU","KARNATAKA","560040","237.14","0","0","11.86","0","0","-2.37","0","-5.88","0","-9.44","0","231.31"
"3 Mar 2022 9:07:49 am UTC","17253003812","Order
","171-2217846-1741915","3C-9BLT-UKV8","PROCARE Disposable Latex Medical Examination Gloves (Medium, 100 Pieces, White)","1","amazon.in","Electronic Transactions (Credit Card/Net Banking/GC)","Merchant","MUMBAI","MAHARASHTRA","400058","237.14","0","0","11.86","0","0","-2.37","0","-5.88","0","-9.44","0","231.31"
"3 Mar 2022 9:07:58 am UTC","17253003812","Order
","408-0627569-3805957","NN-CE3J-WII2","Pehel International ® Unisex Disposable Bouffant Cap (Blue) -100 Pieces","4","amazon.in","Electronic Transactions (Credit Card/Net Banking/GC)","Merchant","vyara","GUJARAT","394650","377.12","0","0","18.88","-1.88","-1.88","0","0","-9.35","0","-37.76","0","345.13"
"3 Mar 2022 4:05:04 pm UTC","17253003812","Refund
","407-2927181-8227559","3C-9BLT-UKV8","PROCARE Disposable Latex Medical Examination Gloves (Medium, 100 Pieces, White)","1","amazon.in","Electronic Transactions (Credit Card/Net Banking/GC)","Merchant","VIJAYAWADA","ANDHRA PRADESH","520002","-237.14","0","0","-11.86","0","0","2.37","0","5.88","0","9.44","0","-231.31"
"3 Mar 2022 6:11:42 pm UTC","17211222672","Reimbursements","171-4590059-3159556","C1-09R0-O8VX","Reimbursement issued for lost or damaged package","1","amazon.in","Cash On Delivery Transactions and Non-Transactional Fees","Merchant","","","","0","0","0","0","0","0","0","0","0","0","0","651.39","651.39"
"3 Mar 2022 6:14:17 pm UTC","17211222672","Reimbursements","171-0010120-9801119","7O-NUU2-KM8Q","Reimbursement issued for lost or damaged package","2","amazon.in","Cash On Delivery Transactions and Non-Transactional Fees","Merchant","","","","0","0","0","0","0","0","0","0","0","0","0","285.27","285.27"
"3 Mar 2022 6:28:20 pm UTC","17211222672","Reimbursements","408-8180983-4207524","AD-FG6D-VT9T","Reimbursement issued for lost or damaged package","2","amazon.in","Cash On Delivery Transactions and Non-Transactional Fees","Merchant","","","","0","0","0","0","0","0","0","0","0","0","0","781.07","781.07"
"3 Mar 2022 6:43:27 pm UTC","17211222672","Reimbursements","405-3696066-6107531","8H-ZNSD-WJN5","Reimbursement issued for lost or damaged package","2","amazon.in","Cash On Delivery Transactions and Non-Transactional Fees","Merchant","","","","0","0","0","0","0","0","0","0","0","0","0","145.90","145.90"
"3 Mar 2022 6:46:28 pm UTC","17211222672","Reimbursements","171-0010120-9801119","7O-NUU2-KM8Q","Reimbursement issued for lost or damaged package","2","amazon.in","Cash On Delivery Transactions and Non-Transactional Fees","Merchant","","","","0","0","0","0","0","0","0","0","0","0","0","285.27","285.27"
"4 Mar 2022 3:10:22 am UTC","17251854272","Refund
","403-7595128-9960354","QJ-BYLE-NHCY","PEHEL INTERNATIONAL ® | Plastic Disposable Shoe Cover | Shoes, Boots, slippers Protectors | Waterproof, Non Slip Durable Covers | One Size Fits All |","1","amazon.in","Cash On Delivery Transactions and Non-Transactional Fees","Merchant","MATHURA","UTTAR PRADESH","281001","-1,270.34","0","0","-228.66","0","0","12.70","0","212.26","0","66.08","0","-1,207.96"
"4 Mar 2022 5:02:03 am UTC","17253003812","Tax Withheld","","","TDS - Section 194-O - Thu Mar 03 00:00:00 UTC 2022","","","Electronic Transactions (Credit Card/Net Banking/GC)","","","","","0","0","0","0","0","0","0","-15.40","0","0","0","0","-15.40"
"4 Mar 2022 7:33:04 am UTC","17251854272","Refund
","171-4772451-9165113","DV-M5JS-7A5J","Wellness Pavillion Disposable underpad, 60x90 cms, 10 Pcs/pack (Pack of 1) |Incontinence Pads, Bed Covers, Puppy Training | Thick, Super Absorbent Pro","3","amazon.in","Cash On Delivery Transactions and Non-Transactional Fees","Merchant","KOLKATA","WEST BENGAL","700075","-568.56","0","0","-28.44","0","0","5.70","0","11.27","0","28.32","0","-551.71"
"4 Mar 2022 8:09:14 am UTC","17251854272","Refund
","406-2879453-6766736","DV-M5JS-7A5J","Wellness Pavillion Disposable underpad, 60x90 cms, 10 Pcs/pack (Pack of 1) |Incontinence Pads, Bed Covers, Puppy Training | Thick, Super Absorbent Pro","1","amazon.in","Cash On Delivery Transactions and Non-Transactional Fees","Merchant","POOTHAKKULAM","KERALA","691302","-189.52","0","0","-9.48","0","0","1.90","0","3.76","0","9.44","0","-183.90"
"4 Mar 2022 8:47:08 am UTC","17253003812","Shipping Services
","403-8993865-3265117","","Easy Ship weight handling fees","","Amazon.in","Electronic Transactions (Credit Card/Net Banking/GC)","Merchant","","","","0","0","0","0","0","0","0","0","0","0","-105.02","0","-105.02"
"4 Mar 2022 9:02:54 am UTC","17253003812","Order
","403-8993865-3265117","3Q-9W5Z-X2RP","PEHEL INTERNATIONAL ® | Plastic Disposable Shoe Cover | Shoes, Boots, slippers Protectors | Waterproof, Non Slip Durable Covers | One Size Fits All |","1","amazon.in","Electronic Transactions (Credit Card/Net Banking/GC)","Merchant","THANE","MAHARASHTRA","400610","292.37","0","0","52.63","0","0","-2.92","0","-56.99","0","-14.16","0","270.93"
"4 Mar 2022 9:09:55 am UTC","17251854272","Refund
","408-4158577-1657154","QJ-BYLE-NHCY","PEHEL INTERNATIONAL ® | Plastic Disposable Shoe Cover | Shoes, Boots, slippers Protectors | Waterproof, Non Slip Durable Covers | One Size Fits All |","1","amazon.in","Cash On Delivery Transactions and Non-Transactional Fees","Merchant","TIPTUR","KARNATAKA","572201","-1,270.34","0","0","-228.66","0","0","12.70","0","212.26","0","66.08","0","-1,207.96"
"4 Mar 2022 12:12:00 pm UTC","17251854272","Refund
","407-5631902-2529903","DV-M5JS-7A5J","Wellness Pavillion Disposable underpad, 60x90 cms, 10 Pcs/pack (Pack of 1) |Incontinence Pads, Bed Covers, Puppy Training | Thick, Super Absorbent Pro","1","amazon.in","Cash On Delivery Transactions and Non-Transactional Fees","Merchant","KOLKATA","WEST BENGAL","700055","-189.52","0","0","-9.48","0","0","1.90","0","3.76","0","9.44","0","-183.90"
"5 Mar 2022 5:22:34 am UTC","17253003812","Tax Withheld","","","TDS - Section 194-O - Fri Mar 04 00:00:00 UTC 2022","","","Electronic Transactions (Credit Card/Net Banking/GC)","","","","","0","0","0","0","0","0","0","-2.92","0","0","0","0","-2.92"
